报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
固定资产原值(万元),188600,125279,115906,98470,34157,31189,30061,28061,28199,26919,25024,
累计折旧(万元),45237,36395,26552,19636,15087,13707,12683,12006,11019,9918,8849,
固定资产净值(万元),143363,88884,89354,78834,19070,17482,17378,16055,17180,17001,16175,
固定资产减值准备(万元),185,185,--,--,--,--,--,0,0,0,0,
固定资产(万元),143178,88699,89354,78834,19070,17482,17378,16055,17180,17001,16175,
在建工程(万元),26066,46726,15905,8500,10636,9222,5727,5522,5069,5505,8890,
工程物资(万元),--,--,--,--,--,--,--,0,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,0,--,--,0,
无形资产(万元),22564,20978,14134,13127,2516,2596,2676,2756,2734,2805,2876,
开发支出(万元),--,--,--,--,--,--,--,0,--,--,0,
商誉(万元),16730,16730,--,--,--,--,--,0,--,--,0,
长期待摊费用(万元),669,59,416,750,--,--,--,0,--,--,0,
股权分置流通权(万元),--,--,--,--,--,--,--,0,--,--,0,
递延所得税资产(万元),2097,1540,1198,731,350,283,249,241,211,315,317,
其他非流动资产(万元),6996,8282,13198,951,--,--,--,0,--,--,0,
非流动资产合计(万元),222658,186765,137954,106643,56824,54646,51877,44827,45872,46749,49753,
资产总计(万元),498761,358542,335772,201445,99287,96182,86316,83622,82961,80232,78968,
短期借款(万元),--,--,28000,26000,19752,19022,18492,16042,14550,14600,14650,
向中央银行借款(万元),--,--,--,--,--,--,--,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,0,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,0,0,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,0,--,--,0,
应付票据(万元),8493,7131,4340,1537,3000,3000,2500,2548,4000,3500,2945,
应付账款(万元),42649,18860,18369,15469,5725,4134,3488,3274,3434,3087,2456,
预收账款(万元),1247,333,182,187,3882,3060,2691,2215,2217,1189,3007,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,0,--,--,0,
应付职工薪酬(万元),11196,9764,7609,6559,41,--,29,0,32,--,273,
应交税费(万元),9256,6922,5072,4511,1260,2098,1910,2133,2016,2029,622,
应付利息(万元),--,--,--,--,--,--,--,0,--,--,0,
应付股利(万元),--,--,--,3820,--,--,--,0,5,5,45,
其他应交款(万元),--,--,--,--,--,--,--,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,0,--,--,0,
其他应付款(万元),50596,41016,39988,25267,4282,1295,778,1125,1090,939,1071,
预提费用(万元),--,--,--,--,--,--,--,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,3000,2000,--,--,0,
其他流动负债(万元),--,--,--,--,--,--,--,0,--,--,0,
流动负债合计(万元),123437,84026,103559,83351,37942,32608,32889,29337,27343,25349,25069,
长期借款(万元),--,--,--,--,11000,9500,--,3000,5000,5000,5000,
应付债券(万元),--,--,--,--,--,--,--,0,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,0,--,--,0,
专项应付款(万元),3082,646,669,680,--,--,--,0,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,0,--,--,0,
长期递延收益(万元),2427,1671,1922,--,--,--,--,0,--,--,--,
递延所得税负债(万元),1065,916,132,--,--,--,--,0,--,--,0,
其他非流动负债(万元),--,--,90,2173,1265,1392,1400,0,--,--,0,
非流动负债合计(万元),6573,3233,2813,2853,12265,10892,1400,3000,5000,5000,5000,
负债合计(万元),130010,87259,106372,86204,50207,43500,34289,32337,32343,30349,30069,
实收资本(或股本)(万元),39764,38380,38380,36788,13820,13820,13820,10631,10631,10631,10631,
资本公积(万元),157604,98768,98768,38142,26470,26470,26470,29659,29659,29659,29659,
减:库存股(万元),--,--,--,--,--,--,--,0,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),16183,16183,9114,3913,1979,1979,1909,1834,1768,1704,1607,
一般风险准备(万元),--,--,--,--,--,--,--,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,0,--,--,0,
未分配利润(万元),152184,113467,83137,36398,6700,10303,9719,9054,8456,7788,6904,
拟分配现金股利(万元),--,--,--,--,--,--,--,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,0,--,--,0,
归属于母公司股东权益合计(万元),365734,266798,229399,115241,48968,52572,51918,51178,50514,49782,48801,
少数股东权益(万元),3017,4485,--,--,112,111,109,107,105,101,98,
所有者权益(或股东权益)合计(万元),368751,271283,229399,115241,49080,52682,52027,51285,50618,49883,48899,
负债和所有者权益(或股东权益)总计(万元),498761,358542,335772,201445,99287,96182,86316,83622,82961,80232,78968,
