报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
经营活动产生的现金流量净额(万元),15245,-5636,1844,5544,5764,786,2376,3463,2985,
收回投资所收到的现金(万元),1830,9370,--,--,--,--,0,164,435,
取得投资收益所收到的现金(万元),1122,437,--,--,--,--,0,0,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,1,8,3,5,0,0,287,114,
处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,0,0,0,
收到的其他与投资活动有关的现金(万元),748,--,--,--,--,--,0,0,0,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,
投资活动现金流入小计(万元),3703,9807,8,3,5,0,0,450,549,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),817,2187,5608,4648,3184,2235,1338,194,478,
投资所支付的现金(万元),1152,--,13550,--,--,--,0,18,424,
质押贷款净增加额(万元),--,--,--,--,--,--,0,0,0,
取得子公司及其他营业单位支付的现金净额(万元),--,--,3239,--,--,--,0,0,0,
支付的其他与投资活动有关的现金(万元),--,--,--,--,--,4,0,0,0,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,
投资活动现金流出小计(万元),1970,2187,22397,4648,3184,2239,1338,213,903,
投资活动产生的现金流量净额(万元),1733,7620,-22389,-4644,-3179,-2239,-1338,238,-354,
吸收投资收到的现金(万元),2838,--,372,925,--,31588,0,0,0,
其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,0,0,0,
取得借款收到的现金(万元),--,--,50,--,--,--,0,0,0,
发行债券收到的现金(万元),--,--,--,--,--,--,0,0,0,
收到其他与筹资活动有关的现金(万元),5,39,635,790,876,271,0,0,0,
筹资活动现金流入小计(万元),2843,39,1058,1715,876,31859,0,0,0,
偿还债务支付的现金(万元),--,--,150,--,--,--,0,0,0,
分配股利、利润或偿付利息所支付的现金(万元),1137,3290,2354,2184,2520,--,1000,2000,182,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,0,0,0,
支付其他与筹资活动有关的现金(万元),983,551,238,88,11,744,0,0,0,
筹资活动现金流出小计(万元),2120,3840,2743,2272,2531,744,1000,2000,182,
筹资活动产生的现金流量净额(万元),723,-3801,-1685,-557,-1655,31115,-1000,-2000,-182,
汇率变动对现金及现金等价物的影响(万元),737,312,58,-133,-31,-30,-18,-2,-39,
现金及现金等价物净增加额(万元),18438,-1505,-22171,209,899,29632,20,1698,2410,
加:期初现金及现金等价物余额(万元),18030,19535,41706,41497,40598,10967,10946,9248,6838,
期末现金及现金等价物余额(万元),36468,18030,19535,41706,41497,40598,10967,10946,9248,
净利润(万元),8726,2164,6905,4813,5186,3356,4827,3264,2531,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,
资产减值准备(万元),954,435,399,203,277,103,174,-1,-2,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),1065,830,561,398,262,230,183,145,80,
无形资产摊销(万元),122,118,105,92,80,52,18,7,1,
长期待摊费用摊销(万元),--,--,--,--,--,--,0,0,0,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,
处置固定资产、无形资产和其他长期资产的损失(万元),55,5,23,8,6,0,0,9,0,
固定资产报废损失(万元),--,--,--,--,--,--,0,5,0,
公允价值变动损失(万元),--,--,--,--,--,--,0,-107,297,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,
预计负债(万元),--,--,--,--,--,--,--,--,--,
财务费用(万元),-742,-352,-468,-722,-924,-271,0,0,0,
投资损失(万元),-1122,-437,--,--,--,--,0,82,11,
递延所得税资产减少(万元),-281,-384,-327,-388,-66,20,-54,52,-69,
递延所得税负债增加(万元),--,--,--,--,--,--,0,0,0,
存货的减少(万元),169,-1267,-5267,-1106,54,-1975,540,617,-1515,
经营性应收项目的减少(万元),-781,-2883,-3284,569,-1554,-1528,-4358,-336,364,
经营性应付项目的增加(万元),5806,-3249,2945,1315,2444,797,1047,-274,1286,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,
其他(万元),1273,-616,252,364,--,--,--,0,0,
经营活动产生现金流量净额(万元),15245,-5636,1844,5544,5764,786,2376,3463,2985,
债务转为资本(万元),--,--,--,--,--,--,0,0,0,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,0,0,0,
融资租入固定资产(万元),--,--,--,--,--,--,0,0,0,
现金的期末余额(万元),36468,18030,19535,41706,41497,40598,10967,10946,9248,
现金的期初余额(万元),18030,19535,41706,41497,40598,10967,10946,9248,6838,
现金等价物的期末余额(万元),--,--,--,--,--,--,0,0,0,
现金等价物的期初余额(万元),--,--,--,--,--,--,0,0,0,
现金及现金等价物的净增加额(万元),18438,-1505,-22171,209,899,29632,20,1698,2410,
