报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
预收账款(万元),2317,550,1254,2767,1044,340,752,1104,2506,
卖出回购金融资产款(万元),--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),3126,1100,1681,1086,1102,437,207,176,229,
应交税费(万元),3957,871,1475,1265,1483,1245,1043,499,333,
应付利息(万元),4,--,--,--,--,--,0,0,0,
应付股利(万元),--,30,26,--,--,--,0,1000,2000,
其他应交款(万元),--,--,--,--,--,--,0,0,0,
应付保证金(万元),--,--,--,--,--,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,0,0,0,
其他应付款(万元),11937,1436,2289,934,693,503,251,207,325,
预提费用(万元),--,--,--,--,--,--,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,0,0,0,
递延收益(万元),--,--,--,--,--,--,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,0,0,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,0,0,0,
其他流动负债(万元),--,--,--,--,--,--,0,0,0,
流动负债合计(万元),35477,10111,13581,9915,9288,7031,6313,6024,7657,
长期借款(万元),--,--,--,--,--,--,0,0,0,
应付债券(万元),--,--,--,--,--,--,0,0,0,
长期应付款(万元),--,--,--,--,--,--,0,0,0,
专项应付款(万元),--,--,--,--,--,--,0,0,0,
预计非流动负债(万元),373,77,78,80,84,45,32,25,0,
长期递延收益(万元),513,693,915,--,--,--,0,0,0,
递延所得税负债(万元),--,--,--,--,--,--,0,0,0,
其他非流动负债(万元),--,--,--,935,210,--,300,550,200,
非流动负债合计(万元),887,771,993,1015,294,45,332,575,200,
负债合计(万元),36364,10882,14575,10930,9581,7076,6645,6598,7857,
实收资本(或股本)(万元),39678,37345,22098,11055,10920,8400,6300,6300,1400,
资本公积(万元),25991,2160,18553,29226,28072,30592,1735,1735,730,
减:库存股(万元),2838,--,--,--,--,--,0,0,0,
专项储备(万元),--,--,--,--,--,--,0,0,0,
盈余公积(万元),4113,3196,3051,2349,1852,1365,1051,599,829,
一般风险准备(万元),--,--,--,--,--,--,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,0,0,0,
未分配利润(万元),22657,16075,17374,13555,11423,9244,6202,1827,5238,
拟分配现金股利(万元),--,--,--,--,--,--,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,0,0,0,
归属于母公司股东权益合计(万元),89523,58803,61078,56185,52267,49602,15288,10461,8197,
少数股东权益(万元),439,341,319,--,--,--,0,0,0,
所有者权益(或股东权益)合计(万元),89961,59144,61397,56185,52267,49602,15288,10461,8197,
负债和所有者权益(或股东权益)总计(万元),126325,70026,75971,67115,61849,56678,21933,17059,16054,
