报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
其中：子公司吸收少数股东投资收到的现金(万元),600,1698,--,--,--,--,--,0,0,0,
取得借款收到的现金(万元),26000,--,--,--,--,--,7000,1200,1400,0,
发行债券收到的现金(万元),--,--,--,--,--,--,--,0,0,0,
收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,0,0,0,
筹资活动现金流入小计(万元),35681,184710,3598,0,0,0,150561,1945,1400,0,
偿还债务支付的现金(万元),26000,--,--,--,--,7000,1200,900,500,0,
分配股利、利润或偿付利息所支付的现金(万元),44416,36401,32808,13123,10936,5498,52,18,8,0,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,0,0,0,
支付其他与筹资活动有关的现金(万元),--,--,--,--,--,393,642,0,0,0,
筹资活动现金流出小计(万元),70416,36401,32808,13123,10936,12891,1894,918,508,0,
筹资活动产生的现金流量净额(万元),-34735,148310,-29210,-13123,-10936,-12891,148667,1027,892,0,
汇率变动对现金及现金等价物的影响(万元),52,-7,-29,--,--,--,--,0,0,0,
现金及现金等价物净增加额(万元),57427,-9568,3186,32402,-16710,-15533,146251,2002,1361,684,
加:期初现金及现金等价物余额(万元),144136,153704,150518,118116,134826,150360,4109,2107,746,62,
期末现金及现金等价物余额(万元),201563,144136,153704,150518,118116,134826,150360,4109,2107,746,
净利润(万元),50765,62034,50259,42169,28035,18644,9211,5217,2671,1213,
少数股东损益(万元),--,--,--,--,--,--,--,0,0,0,
未确认的投资损失(万元),--,--,--,--,--,--,--,0,0,0,
资产减值准备(万元),1221,442,1898,136,196,153,41,13,12,-74,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),6413,4946,3743,3341,1955,630,383,196,74,30,
无形资产摊销(万元),1640,1056,613,322,213,105,59,47,19,17,
长期待摊费用摊销(万元),1338,1385,658,431,309,379,237,138,21,10,
待摊费用的减少(万元),--,--,--,--,--,--,--,0,0,0,
预提费用的增加(万元),--,--,--,--,--,--,--,0,0,0,
处置固定资产、无形资产和其他长期资产的损失(万元),712,54,95,520,368,1,1,22,8,203,
固定资产报废损失(万元),--,--,--,--,--,9,--,0,0,0,
公允价值变动损失(万元),--,--,--,--,--,--,--,0,-6,6,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,0,0,0,
预计负债(万元),--,--,--,--,--,--,--,0,0,0,
财务费用(万元),735,--,--,--,--,20,52,18,8,0,
投资损失(万元),-3922,-3180,--,--,--,--,--,0,135,-7,
递延所得税资产减少(万元),-10,-45,-5,3,10,-64,-35,-2,1,39,
递延所得税负债增加(万元),160,15,379,-199,69,356,--,0,0,0,
存货的减少(万元),-2942,-6424,-1397,-2449,-9574,-4710,-3365,-1643,-197,-1168,
经营性应收项目的减少(万元),4579,-2379,-4668,2771,-6220,584,-18,243,399,776,
经营性应付项目的增加(万元),7171,6987,1627,10085,2261,1293,-1105,-61,-609,235,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,0,0,0,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,0,0,0,
其他(万元),605,-1402,2861,5521,-6500,--,--,0,0,0,
经营活动产生现金流量净额(万元),68465,63489,56064,62651,11122,17399,5461,4188,2536,1280,
债务转为资本(万元),--,--,--,--,--,--,--,0,0,0,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,0,0,0,
融资租入固定资产(万元),--,--,--,--,--,--,--,0,0,0,
现金的期末余额(万元),201563,144136,153704,150518,118116,134826,150360,4109,2107,746,
现金的期初余额(万元),144136,153704,150518,118116,134826,150360,4109,2107,746,62,
现金等价物的期末余额(万元),--,--,--,--,--,--,--,0,0,0,
现金等价物的期初余额(万元),--,--,--,--,--,--,--,0,0,0,
现金及现金等价物的净增加额(万元),57427,-9568,3186,32402,-16710,-15533,146251,2002,1361,684,
