报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
持有至到期投资(万元),--,--,--,200,--,--,--,--,0,--,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,0,9,9,9,
其他长期投资(万元),--,--,--,--,--,--,--,--,0,--,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
固定资产原值(万元),188138,134451,90687,79623,75289,60960,40788,27801,25233,24027,0,0,
累计折旧(万元),49729,33669,28524,24353,20733,17622,15304,13698,12239,11773,0,0,
固定资产净值(万元),138410,100782,62162,55269,54556,43337,25484,14103,12993,12255,0,0,
固定资产减值准备(万元),65,79,108,113,116,129,173,185,189,197,0,0,
固定资产(万元),138345,100703,62054,55157,54440,43208,25312,13918,12804,12058,11225,10186,
在建工程(万元),21216,12523,43769,33926,20145,7428,15129,7703,1306,1951,1371,2387,
工程物资(万元),--,--,--,--,--,--,--,--,0,--,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,0,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
无形资产(万元),106090,109537,68731,51143,51919,52947,3795,3803,3116,448,196,214,
开发支出(万元),44462,30445,58439,62613,46089,23507,10889,4428,2572,1016,0,0,
商誉(万元),--,--,--,--,--,--,--,--,0,--,0,0,
长期待摊费用(万元),320,441,507,431,239,127,98,82,106,26,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,--,0,0,
递延所得税资产(万元),2602,1806,1489,1811,1794,976,755,627,430,352,318,229,
其他非流动资产(万元),6500,5535,7031,11756,13819,--,--,--,0,--,0,0,
非流动资产合计(万元),319535,260990,242019,217037,188444,128193,55977,30562,20333,15859,13119,13026,
资产总计(万元),654088,417984,388616,374606,358024,285300,206227,99522,70672,60639,51892,47217,
短期借款(万元),43742,33868,19501,11701,9191,1001,1100,50,1100,7000,6200,6800,
向中央银行借款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,0,--,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付票据(万元),3868,3736,2464,4554,2038,5845,3148,816,1644,2040,875,261,
应付账款(万元),59746,30015,28215,25992,28422,24001,16679,10544,11296,10099,7919,6548,
预收账款(万元),40346,16330,12562,18812,12184,21540,26420,10027,9981,7397,2946,2139,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付职工薪酬(万元),11308,8189,6039,4874,3867,4383,2958,2194,1605,1345,1516,1714,
应交税费(万元),2311,3290,2163,1229,1423,1019,-538,985,323,842,595,563,
应付利息(万元),20,--,--,--,--,--,28,30,0,--,0,0,
应付股利(万元),3336,3274,3327,1501,467,92,130,151,1155,1277,837,1714,
其他应交款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
其他应付款(万元),5929,4845,5873,4039,3939,2122,2690,2069,4010,4157,3788,3439,
预提费用(万元),--,--,--,--,--,--,--,--,0,--,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,--,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,--,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,--,0,0,
一年内到期的非流动负债(万元),--,--,--,--,11500,11500,--,--,3042,--,0,0,
其他流动负债(万元),55,--,--,--,--,--,--,--,0,--,0,0,
流动负债合计(万元),170661,103547,80144,72703,73031,71504,52614,26866,34156,34158,24675,23178,
长期借款(万元),6000,--,--,--,0,11500,23000,23000,4800,--,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,0,--,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
专项应付款(万元),--,--,--,--,44408,44408,--,--,0,--,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,
长期递延收益(万元),141046,111727,112057,--,--,--,--,--,0,--,0,0,
递延所得税负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,
其他非流动负债(万元),--,--,--,109320,56301,49087,34742,15027,2651,2050,5642,5388,
非流动负债合计(万元),147046,111727,112057,109320,100709,104996,57742,38027,7451,2050,5642,5388,
负债合计(万元),317707,215274,192202,182022,173740,176499,110357,64893,41608,36208,30318,28567,
实收资本(或股本)(万元),45800,35220,35220,35220,17610,8450,6500,4844,4844,4844,4844,4844,
资本公积(万元),188789,83678,83678,83678,101288,50024,53118,2661,2651,2651,2651,2514,
减:库存股(万元),--,--,--,--,--,--,--,--,0,--,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,0,--,0,0,
盈余公积(万元),6860,5914,5767,5767,4622,3535,2333,1582,1151,785,448,95,
一般风险准备(万元),--,--,--,--,--,--,--,--,0,--,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,0,--,0,0,
未分配利润(万元),77816,62185,58468,57802,50398,38215,27349,19990,15461,11910,9716,7309,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,0,--,0,0,
外币报表折算差额(万元),--,--,--,-45,-49,-53,-69,-68,-68,-22,0,0,
归属于母公司股东权益合计(万元),319194,186945,183087,182422,173870,100170,89230,29010,24039,20168,17659,14762,
少数股东权益(万元),17187,15765,13327,10162,10414,8631,6640,5619,5025,4263,3916,3889,
所有者权益(或股东权益)合计(万元),336381,202710,196414,192584,184284,108801,95871,34629,29064,24431,21575,18651,
负债和所有者权益(或股东权益)总计(万元),654088,417984,388616,374606,358024,285300,206227,99522,70672,60639,51892,47217,
