报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),3779,8807,--,--,--,--,--,--,--,
长期待摊费用(万元),2069,285,77,104,183,193,164,111,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),4006,3230,2078,1594,1506,1982,427,128,178,
其他非流动资产(万元),2866,2795,--,--,--,--,--,--,--,
非流动资产合计(万元),109976,110038,58411,18834,15197,15580,11106,10036,8322,
资产总计(万元),413114,236284,189384,181788,184918,100261,50580,24508,19981,
短期借款(万元),7108,6008,--,--,--,--,1800,1000,2100,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),12279,3640,2266,1106,1009,1773,--,--,--,
应付账款(万元),17522,15370,5192,1702,3187,7357,3285,1699,2999,
预收账款(万元),17799,6212,3342,8058,11687,34054,19165,4939,3758,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1919,1426,912,662,747,1130,966,775,436,
应交税费(万元),2007,1738,685,336,337,2239,3787,1089,1231,
应付利息(万元),19,18,--,--,--,--,3,1,6,
应付股利(万元),--,--,--,--,--,--,550,125,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),1078,924,196,218,31,34,0,24,73,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),90,118,--,--,--,--,--,--,--,
其他流动负债(万元),1958,1760,--,--,--,--,--,--,--,
流动负债合计(万元),61780,37213,12593,12082,16998,46587,29557,9652,10603,
长期借款(万元),4500,4827,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),33,58,--,--,--,--,--,--,--,
长期递延收益(万元),2105,1120,320,--,--,--,--,--,--,
递延所得税负债(万元),126,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,46,
非流动负债合计(万元),6764,6005,320,0,0,0,0,0,46,
负债合计(万元),68544,43218,12913,12082,16998,46587,29557,9652,10649,
实收资本(或股本)(万元),98508,88344,40005,26670,13335,10000,10000,1051,1051,
资本公积(万元),155474,33036,77376,90711,104046,3828,3828,--,--,
减:库存股(万元),1958,1760,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,
盈余公积(万元),9430,7264,6184,5325,5063,3430,208,525,525,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,
未分配利润(万元),66899,53989,48608,45553,45477,36415,6987,13280,7756,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),328352,180873,172173,168259,167920,53674,21023,14856,9332,
少数股东权益(万元),16218,12193,4298,1448,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),344570,193066,176471,169707,167920,53674,21023,14856,9332,
负债和所有者权益(或股东权益)总计(万元),413114,236284,189384,181788,184918,100261,50580,24508,19981,
