报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,
其他(万元),--,--,--,--,--,--,--,--,-875,
经营活动产生现金流量净额(万元),-6614,-9402,13377,10463,-2872,9102,12900,4978,7997,
债务转为资本(万元),--,--,--,--,--,--,--,--,--,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,
融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,
现金的期末余额(万元),99967,23427,72220,97683,104809,12022,9018,3275,2079,
现金的期初余额(万元),23427,72220,97683,104809,12022,9018,3275,2079,215,
现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,
现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,
现金及现金等价物的净增加额(万元),76540,-48793,-25463,-7126,92787,3004,5743,1196,1864,
