报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
偿还债务支付的现金(万元),1000,--,1000,--,1000,--,--,0,6000,4800,--,
分配股利、利润或偿付利息所支付的现金(万元),19568,15050,12245,9896,10123,7500,6210,5174,4456,5691,5958,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,0,--,0,--,
支付其他与筹资活动有关的现金(万元),343,26,--,--,--,--,--,0,--,0,--,
筹资活动现金流出小计(万元),20910,15076,13245,9896,11123,7500,6210,5174,10456,10491,5958,
筹资活动产生的现金流量净额(万元),-19489,-13224,361,-7266,-11123,-7500,3999,-4174,-10456,-4491,-5378,
汇率变动对现金及现金等价物的影响(万元),3089,923,13,-14,-7,30,-0,2,-40,0,-0,
现金及现金等价物净增加额(万元),-22097,168411,127987,83967,38008,-4566,28780,32206,-18759,694,13412,
加:期初现金及现金等价物余额(万元),513312,344901,216914,132947,94939,99505,70725,38518,57278,56555,43143,
期末现金及现金等价物余额(万元),491215,513312,344901,216914,132947,94939,99505,70725,38518,57249,56555,
净利润(万元),263419,222397,157293,129205,115141,94041,75544,69330,43559,41292,20522,
少数股东损益(万元),--,--,--,--,--,--,--,0,--,561,--,
未确认的投资损失(万元),--,--,--,--,--,--,--,0,--,0,--,
资产减值准备(万元),-519,720,689,252,-4547,1087,2312,-981,3282,2309,103,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),24803,21820,20899,16778,13011,9656,7038,6307,5956,5772,5694,
无形资产摊销(万元),588,425,433,292,170,99,95,121,68,66,--,
长期待摊费用摊销(万元),146,--,17,22,22,6,--,0,--,0,21,
待摊费用的减少(万元),--,--,--,--,--,--,--,0,--,0,--,
预提费用的增加(万元),--,--,--,--,--,--,--,0,--,0,--,
处置固定资产、无形资产和其他长期资产的损失(万元),128,87,28,347,4,-14,71,-34,-22,-36,-3,
固定资产报废损失(万元),5,534,4,--,0,--,1,0,--,0,--,
公允价值变动损失(万元),--,--,--,--,--,--,--,-8546,18115,-10200,--,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,0,--,0,--,
预计负债(万元),--,--,--,--,--,--,--,0,--,0,--,
财务费用(万元),--,3,3,3,5,6,3,1,148,385,347,
投资损失(万元),-1475,252,-20,-20,-20,-116,-97,1055,-2176,-3885,-1815,
递延所得税资产减少(万元),-1914,-1571,-2098,30,836,253,-82,516,-3460,0,--,
递延所得税负债增加(万元),--,--,--,--,--,--,--,0,-2550,0,--,
存货的减少(万元),-11163,2792,-12096,-9467,-2536,-13311,-53,-1482,-4252,-1358,-2950,
经营性应收项目的减少(万元),-23934,-44768,-21688,-8975,-24908,-46693,-51581,-36776,-38982,-28420,2264,
经营性应付项目的增加(万元),7057,18714,9199,7619,-2721,4240,2858,13786,-8715,15497,2435,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,0,--,0,--,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,0,--,0,--,
其他(万元),2121,6324,4769,408,1379,3483,2486,614,774,-96,--,
经营活动产生现金流量净额(万元),259263,227729,157431,136496,95837,52736,38595,43912,11746,21887,26618,
债务转为资本(万元),--,--,--,--,--,--,--,0,--,0,--,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,0,--,0,--,
融资租入固定资产(万元),--,--,--,--,--,--,--,0,--,0,--,
现金的期末余额(万元),491215,513312,344901,216914,132947,94939,99505,70725,38518,57249,56555,
现金的期初余额(万元),513312,344901,216914,132947,94939,99505,70725,38518,57278,56555,43143,
现金等价物的期末余额(万元),--,--,--,--,--,--,--,0,--,0,--,
现金等价物的期初余额(万元),--,--,--,--,--,--,--,0,--,0,--,
现金及现金等价物的净增加额(万元),-22097,168411,127987,83967,38008,-4566,28780,32206,-18759,694,13412,
