报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
固定资产原值(万元),302098,253546,234899,208535,181960,136360,114398,83727,75818,70988,61281,
累计折旧(万元),134409,111144,98327,78366,64011,51589,42216,35655,29619,24147,18824,
固定资产净值(万元),167689,142402,136572,130169,117949,84771,72182,48072,46198,46841,42457,
固定资产减值准备(万元),--,--,--,--,--,--,--,0,0,0,0,
固定资产(万元),167689,142402,136572,130169,117949,84771,72182,48072,46198,46841,42457,
在建工程(万元),79705,34618,25846,26207,8989,13673,3899,7825,5275,296,5528,
工程物资(万元),--,--,--,--,--,--,--,0,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,0,--,--,0,
无形资产(万元),28472,19585,19988,20267,6690,5134,5234,5028,2923,2991,2867,
开发支出(万元),--,--,--,--,--,--,--,0,--,--,0,
商誉(万元),--,--,--,--,--,--,--,0,--,--,0,
长期待摊费用(万元),463,--,--,17,39,62,--,0,--,--,0,
股权分置流通权(万元),--,--,--,--,--,--,--,0,--,--,0,
递延所得税资产(万元),9251,7337,5767,3669,3699,4536,4991,4908,5425,1305,1047,
其他非流动资产(万元),--,--,--,--,--,--,--,0,--,--,0,
非流动资产合计(万元),293684,211835,188696,180843,137878,108687,90418,85048,70102,51882,52348,
资产总计(万元),1433006,1149670,908686,722027,589251,481802,389564,299887,225436,201369,146844,
短期借款(万元),--,--,--,--,--,--,--,0,--,6000,0,
向中央银行借款(万元),--,--,--,--,--,--,--,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,0,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,0,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,0,--,--,0,
应付票据(万元),--,1409,2292,750,--,--,--,0,--,5348,0,
应付账款(万元),75504,49187,39641,28247,21981,19962,19651,13856,13197,7231,4626,
预收账款(万元),15187,11342,2282,1102,342,1263,--,513,657,--,0,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,0,--,--,0,
应付职工薪酬(万元),10,3,2,2,22,3,19,80,502,574,1737,
应交税费(万元),30654,22312,16428,8357,9239,6185,5160,4346,688,1821,2215,
应付利息(万元),--,--,--,--,--,--,--,0,--,--,0,
应付股利(万元),--,--,--,--,--,--,--,0,--,--,0,
其他应交款(万元),--,--,--,--,--,--,--,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,0,--,--,0,
其他应付款(万元),15133,20061,10807,9045,9192,10695,11919,12492,7328,12345,5508,
预提费用(万元),--,--,--,--,--,--,--,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动负债(万元),--,1003,--,1000,--,1000,--,0,--,--,0,
其他流动负债(万元),--,--,--,6936,3226,3840,3331,1098,620,2182,1222,
流动负债合计(万元),136488,105316,71453,55440,44001,42947,40080,32385,22991,35501,15307,
长期借款(万元),--,--,1000,1000,1000,1000,2000,1000,--,--,4800,
应付债券(万元),--,--,--,--,--,--,--,0,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,0,--,--,0,
专项应付款(万元),--,--,--,--,--,--,--,0,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,0,--,--,0,
长期递延收益(万元),9079,8578,7245,--,--,--,--,0,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,0,--,2550,0,
其他非流动负债(万元),--,--,--,--,--,--,--,0,--,--,0,
非流动负债合计(万元),9079,8578,8245,1000,1000,1000,2000,1000,--,2550,4800,
负债合计(万元),145567,113894,79698,56440,45001,43947,42080,33385,22991,38051,20107,
实收资本(或股本)(万元),234746,195650,150502,136022,123656,112415,74943,62074,51729,43107,33159,
资本公积(万元),43819,42006,50756,33159,32766,31399,42871,31568,31568,31814,31828,
减:库存股(万元),4343,8783,--,--,--,--,--,0,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),124485,98911,78351,64729,54077,45267,38805,31972,25189,20412,16259,
一般风险准备(万元),--,--,--,--,--,--,--,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,0,--,--,0,
未分配利润(万元),840130,665502,514055,401925,311025,233455,182233,135271,90989,66238,44351,
拟分配现金股利(万元),--,--,--,--,--,--,--,0,--,--,0,
外币报表折算差额(万元),--,--,--,-112,-113,-118,-115,-111,-37,--,0,
归属于母公司股东权益合计(万元),1238795,993136,793439,635723,521410,422418,338738,260774,199438,161570,125598,
少数股东权益(万元),48644,42640,35549,29864,22840,15437,8746,5728,3007,1748,1138,
所有者权益(或股东权益)合计(万元),1287439,1035777,828988,665587,544250,437855,347483,266502,202445,163318,126737,
负债和所有者权益(或股东权益)总计(万元),1433006,1149670,908686,722027,589251,481802,389564,299887,225436,201369,146844,
